item_id,subsystem,description,manufacturer,manufacturer_part_number,supplier,supplier_sku,quantity,unit,revision,status,source_or_evidence,notes
COMPUTE-001,compute,Raspberry Pi 4 single-board computer,Raspberry Pi,Raspberry Pi 4,,,1,each,,owner-verification,Recorded hardware identity,RAM capacity and board revision need label or system verification
CONTROL-001,control,Bus Servo Driver HAT (A) with integrated ESP32,Waveshare,Bus Servo Driver HAT (A),Waveshare,27577,1,each,,recorded,Recorded product name and SKU,Photograph front and back board labels and record board revision
ACT-001,actuation,Serial-bus servo for Base Shoulder and Elbow,Waveshare,ST3215 / STS-family,,,3,each,,owner-verification,Current working identification,Exact printed model suffix and voltage label must be checked; logical IDs 1 2 3
ACT-002,actuation,Serial-bus camera pitch servo,,SC09 / SCS-family,,,1,each,,owner-verification,Current working identification,Exact manufacturer model and voltage label must be checked; logical ID 4
VISION-001,vision,Raspberry Pi Camera Module 3 Wide with IMX708 sensor,Raspberry Pi,Camera Module 3 Wide,,,1,each,,owner-verification,Current software and dated deployed sensor evidence,Photograph module markings and verify Wide lens variant; IMX708 identity alone is insufficient
POWER-001,power,Candidate servo-rail DC power supply,,12 V 7.5 A 90 W candidate,,,1,each,,owner-verification,Candidate rating only,Exact model input output connector polarity cable and measured margin are not confirmed
POWER-002,power,Camera-servo regulator or step-down converter,,,,,1,each,,TODO,Not yet documented,Confirm whether fitted and record input output setting current capability and thermal margin
SAFE-001,power,Servo-rail fuse or over-current protection,,,,,1,each,,TODO,Not yet documented,Record type rating location and protected conductor
SAFE-002,power,Hardware emergency stop or latched power disconnect,,,,,1,each,,TODO,Not yet documented,Software STOP is not a hardware E-stop
MECH-001,mechanical,3D-printed Base 4 to 1 gear reduction,,,,,1,set,r01,recorded,Current Base and servo-gear files,52-tooth Base gear and 13-tooth servo gear
PRINT-001,mechanical,Printed Base with integrated 52-tooth ring gear,,,,,1,each,r01,recorded,co-arm_base_main-body_r01.3mf,Material and print profile TODO
PRINT-012,mechanical,Printed Base servo gear,,,,,1,each,r01,recorded,co-arm_base_servo-gear_r01.3mf,13-tooth gear for the Base servo
PRINT-002,mechanical,Printed Base bearing-bottom piece,,,,,1,each,r01,recorded,co-arm_base_bearing-bottom_r01.3mf,Sits underneath the large Base bearing
PRINT-003,mechanical,Printed Shaft Base,,,,,1,each,r01,recorded,co-arm_base_shaft-base_r01.3mf,Sits on top of the large Base bearing
PRINT-004,mechanical,Printed Level 2 platform,,,,,1,each,r01,recorded,co-arm_base_level-2-platform_r01.3mf,Attaches above Shaft Base after lower-servo preassembly
PRINT-005,mechanical,Printed lower-arm servo mount,,,,,1,each,r01,recorded,co-arm_shoulder_servo-mount_r01.3mf,Exact face screw direction and cable exit need a photo
PRINT-006,mechanical,Printed lower arm link,,,,,1,each,r01,recorded,co-arm_shoulder_lower-link_r01.3mf,Lower link
PRINT-007,mechanical,Printed upper arm link,,,,,1,each,r01,recorded,co-arm_elbow_upper-link_r01.3mf,Upper link
PRINT-008,mechanical,Printed top-servo cover,,,,,1,each,r01,recorded,co-arm_elbow_servo-cover_r01.3mf,Exact attachment screws and orientation need a photo
PRINT-009,mechanical,Printed camera-servo mount,,,,,1,each,r01,recorded,co-arm_camera_servo-mount_r01.3mf,Mounts at the end of the arm
PRINT-010,mechanical,Printed camera holder,,,,,1,each,r01,recorded,co-arm_camera_holder_r01.3mf,Holds Camera Module 3 Wide
PRINT-011,mechanical,Printed camera cover,,,,,1,each,r01,recorded,co-arm_camera_cover_r01.3mf,Closes the camera holder
BEARING-001,hardware,Large Base bearing,,,,,1,each,,owner-verification,Owner reports one large bearing,Inside diameter outside diameter width and bearing type pending
INSERT-001,hardware,Heat-set inserts for roughly 4 mm modeled holes,,,,,each,,,TODO,Owner reports multiple heat-set insert holes,Thread outside diameter length and count per printed part pending
FASTENER-001,hardware,M3 screws,,,,,each,,,TODO,Owner reports multiple M3 screws,Length head type and count per connection pending
HARDWARE-001,hardware,Washers nuts spacers shafts servo horns and cable hardware,,,,,1,set,,TODO,Awaiting physical inventory,Split into exact size material quantity and matching drawing references
WIRING-001,wiring,Power signal camera and servo-bus harnesses,,,,,1,set,,TODO,Awaiting harness trace,Split by cable with connector family wire gauge length labels and revision
